instrument,asset_class,n_signal_dates,n_bets,corr_fwd_5,corr_fwd_5_lo,corr_fwd_5_hi,corr_fwd_3,corr_fwd_3_lo,corr_fwd_3_hi,corr_fwd_1,corr_fwd_1_lo,corr_fwd_1_hi,corr_contemp_0,corr_contemp_0_lo,corr_contemp_0_hi,corr_trail_1,corr_trail_1_lo,corr_trail_1_hi,corr_trail_3,corr_trail_3_lo,corr_trail_3_hi,corr_trail_5,corr_trail_5_lo,corr_trail_5_hi,corr_trail_10,corr_trail_10_lo,corr_trail_10_hi,corr_trail_20,corr_trail_20_lo,corr_trail_20_hi,mean_pnl_next_day,mean_pnl_next_day_lo,mean_pnl_next_day_hi,mean_pnl_h,mean_pnl_h_lo,mean_pnl_h_hi,hit_rate_h,hit_rate_h_lo,hit_rate_h_hi,mean_trail_corr,sign_label
es1s,equity,629,575,-0.030495906585439526,-0.09234063105165459,0.03216159115478157,0.049937442054686025,-0.005563375820682069,0.11944856540806942,0.10285512659211726,0.048843048819022176,0.17010049217001394,-0.13992757957761898,-0.19947025485524536,-0.0750602591264647,-0.16099887783297495,-0.22891542381903343,-0.10323340349574686,-0.11515853091182725,-0.16968560322934437,-0.06049455819375498,-0.048787112556996186,-0.11649687106213624,0.0011565899520026483,0.019070508123222224,-0.054137155129592454,0.09764363735804414,0.03638769797743614,-0.08710383339609663,0.13559273918851109,0.0014468724611104897,0.0006887679149804615,0.0022838561277933175,0.004595399390993728,-0.0022758134958567873,0.01040612944945111,0.6035398230088496,0.5268483635507417,0.6810443958174235,-0.03858194607232819,mixed
nq1s,equity,629,604,0.00908926636511752,-0.0833249806778821,0.09969918289433827,0.064651348477777,0.005046395670590684,0.144641552012923,0.11371881892272062,0.048463738442394814,0.1787330942938764,-0.1656383216875621,-0.24396790730787513,-0.08899287833434243,-0.05334975273669545,-0.13669638733143777,0.02755678392447586,-0.03364501511500305,-0.12947408263109086,0.04007795343780918,-0.05907886282673257,-0.1319789357854498,0.010523428415151996,0.024572775605680382,-0.04365806402260295,0.10387463080141898,-0.008214720175627976,-0.10160406599712057,0.07457796879020584,0.002099388519303029,0.0009260056697134429,0.0035193312795675177,0.008798676889211538,0.0027079760522968305,0.014996678776837434,0.5993265993265994,0.5252223729835671,0.6772153319029687,-0.0240176400333439,mixed
fesx1s,equity,637,637,-0.02866710165866067,-0.12882590071565975,0.07940782680462818,-0.022149587083105018,-0.10466388683534801,0.07851899964397546,0.04739055006731443,-0.05720247901993278,0.15031912355687438,-0.17882391785630958,-0.25055142484030485,-0.12054219564202481,-0.19301608887585162,-0.2687232693431087,-0.1154877350749118,-0.0344370128320288,-0.12984426736389512,0.062488315538413934,-0.032336880790112786,-0.1271045096051174,0.05833431869784412,-0.02147707542504626,-0.12302492159543556,0.0695923042264554,0.012642985780338224,-0.06738609866392578,0.08000781429425818,0.0007557505719754773,-0.001010321882137968,0.0020789753626743687,0.001942597261221142,-0.010506667032214694,0.01063943981916466,0.5231259968102073,0.46467817896389324,0.5808477237048666,-0.05854676482766811,mean_reverting
cl1s,energy,628,422,0.08592753607865505,0.009638896961272975,0.14938103495671412,0.0708303093724164,-0.005955907485499567,0.12505920222761804,0.12067266109064188,0.045099678062430155,0.189134866881825,0.0005042100077994698,-0.07023038681247548,0.05606113386561497,0.002909673096481665,-0.06824093940296293,0.06713980925832778,0.026856928810809474,-0.03100952576642856,0.08990381411166691,0.028064525826207137,-0.027457842829513506,0.10578799464245857,-0.022183543749234123,-0.07665173343465483,0.04154080782218274,-0.030223439081349363,-0.09414460813988544,0.05343633510865783,0.0037128716820977532,0.001448483071797955,0.007212494440885387,0.023790310523608083,0.003090726659749492,0.05248544000122333,0.7063106796116505,0.592134478424801,0.8262053732760155,-0.005358195976973671,mixed
ho1s,energy,628,63,-0.04221515781613848,-0.12396520309045167,0.026706001263713242,0.029465516727293202,-0.04903909406263881,0.11854479175348048,0.03567413975346999,-0.01740757379449843,0.09761434755627965,-0.15480561078173458,-0.23900845609179724,-0.08635261813736533,-0.11425438714808804,-0.20191437200156398,-0.042667888397986506,-0.04083612685810466,-0.11100971239635962,0.01717014061137445,-0.017783208946404092,-0.07372008082708173,0.03579785903302409,-0.00039320423985244853,-0.053055488731500004,0.05744466495416639,-0.03599110711455029,-0.13476389589062956,0.0631140827548709,0.00041805598818948924,-7.438845616955851e-05,0.0010694988689312695,0.00266675638420612,-0.0007551176373061206,0.006868856324292355,0.6666666666666666,0.4053766532489937,0.8545493395493395,-0.04210547686222372,mixed
rb1s,energy,628,628,-0.02694667499378314,-0.11617010356566403,0.0694101070805393,0.02471021675374367,-0.02345894282866683,0.08011178547136656,0.06544092499473073,9.806854518292079e-05,0.12386278874093451,-0.06953214899258225,-0.1372028264606921,-0.018933764609322067,-0.10252969086023336,-0.18854004370172694,-0.028559274328893953,-0.04352196793469016,-0.12998557705334932,0.04021999430229825,-0.05638650853864506,-0.14997127343407085,0.03306502444119018,0.07045388194323139,-0.01849570439924031,0.15251337112176483,0.004392735904768639,-0.09746828396099064,0.08971193896825523,0.002651557131382019,8.84547532423851e-05,0.00525348034067747,-0.00905241603591377,-0.042972565320063605,0.015544989688136111,0.5032362459546925,0.4060446090648943,0.6054981642512077,-0.021017395387719594,mixed
ng1s,energy,628,124,0.05797115811999279,-0.000904989655690237,0.13871201160509303,0.06213279298285752,0.006302246741617509,0.12478294750900529,0.09328096152633848,-0.002976585936558895,0.1593080060330932,-0.0017179635759641868,-0.07540824498355918,0.0657039735815958,-0.04003421848870905,-0.11449853352274408,0.026457615368570293,-0.0183533969852997,-0.1107154377813275,0.052866032253788976,0.0200785853598412,-0.0493744252157351,0.07207041080440359,-0.008028341924470323,-0.09793507576815395,0.06195647690669802,-0.029553968124981723,-0.10026541678336913,0.03537083555527181,0.0014708808943216826,-0.00036899228187245036,0.0027694929964908626,0.006803623872762113,-0.0038789515222227436,0.02008293501990361,0.6,0.4018651649492771,0.7620490620490619,-0.014384485794579974,mixed
gc1s,metals,628,168,0.015160537924270998,-0.067572995004322,0.10321607368950612,0.03656239287730143,-0.045049699394403994,0.11700618403703084,0.12914088761656561,0.07948611150612848,0.18853000827360328,-0.015304076331478756,-0.08635070026093628,0.06340542922810037,-0.08699592374987225,-0.14785861774226622,-0.010207365909259438,-0.10632152571112201,-0.19791602234260874,-0.005005490535565362,-0.08902458698641942,-0.1822033656124928,0.0065851819904665125,0.07892052048047882,-0.009810697324000047,0.17544472721745216,-0.04986795076380607,-0.12838115863068872,0.02139633470844267,0.0007440505851033703,0.0004545320853973751,0.0011088716906321864,0.0016899878127115625,-0.00024854653446907413,0.003999780007561773,0.6049382716049383,0.4733320610687023,0.7261960916442048,-0.03674198525490473,mixed
si1s,metals,628,578,0.0017658755853507812,-0.058467966560675155,0.08618678913606594,-0.03554678142720303,-0.09386685817166683,0.04361387564785668,0.056683809203425965,-0.008944276298005488,0.14114290355724365,-0.15773035915512557,-0.216066899161005,-0.0880881090894569,-0.14343678786273015,-0.20690224583730957,-0.06988697165531342,-0.10492992999526266,-0.18114037393963392,-0.022023276618255767,-0.12393630586073916,-0.20838894250571358,-0.04987262511335577,-0.12123265314190464,-0.18205111139047073,-0.05095218349020603,0.01735389393658635,-0.06759742220691664,0.10278613321424522,0.0012893553561377016,-0.0002321304634772746,0.002984819166112126,-0.0010173961882905267,-0.012071511045242447,0.010026216963966375,0.5616197183098591,0.5043007491299817,0.6365336520221564,-0.09281296323219689,mean_reverting
hg1s,metals,628,628,0.02146230757384323,-0.0410896833747013,0.09395853289017468,0.02325612739011122,-0.03314122684483283,0.085270095492844,0.12183734235864797,0.0526572931792307,0.20223100335420288,-0.17925756746726715,-0.26852370364398237,-0.08923632320038741,-0.10921290754171374,-0.18832165265638945,-0.021405128799950452,-0.04017615604129404,-0.11568226585978317,0.055863308462983374,-0.0871246958119165,-0.15357753364156138,0.007861418515544057,-0.04478940347237068,-0.1322442320076169,0.04123336584208719,0.027333557825170312,-0.0464082698599306,0.09886594880224364,0.001881784537868559,0.0007812104167426653,0.0031429147018390245,0.0029763702780261575,-0.002425672643811119,0.010115216331874939,0.540453074433657,0.47449498446106037,0.6098726114649682,-0.05344836225020765,mean_reverting
pl1s,metals,628,557,0.02426649072661508,-0.04391288570058659,0.10469235778239805,0.060345005434660905,-0.009852616381979519,0.13354399897052438,0.07092422928031189,-0.004614524581418074,0.13855826131157864,-0.18699119024705105,-0.24112103681326597,-0.11757291961152505,-0.1475227482701545,-0.2221792682227273,-0.06677684230224701,-0.14760273513228883,-0.22004376648611007,-0.0658879215282947,-0.05024610609041837,-0.12032743987265915,0.037588724650915596,-0.07876293383949358,-0.19047634694082144,0.028229260715200096,-0.051761772944651833,-0.11871442370416772,0.028288479890676076,0.0012554151404571866,-0.0008021795761046143,0.0029638549203248638,0.0013830669583997802,-0.011766084814959978,0.012701675924294184,0.5237226277372263,0.4393991074539211,0.5935336207568241,-0.08207339028617958,mean_reverting
