date,instrument,weight
2022-01-03,es1s,-0.1270
2022-01-03,nq1s,-0.0956
2022-01-03,fesx1s,0.0000
2022-01-03,cl1s,0.2421
2022-01-03,ho1s,0.0000
2022-01-03,rb1s,0.1674
2022-01-03,ng1s,0.0000
2022-01-03,gc1s,0.0000
2022-01-03,si1s,0.1516
2022-01-03,hg1s,-0.1525
2022-01-03,pl1s,0.2219
2022-01-04,es1s,-0.1261
2022-01-04,nq1s,-0.0973
2022-01-04,fesx1s,0.0000
2022-01-04,cl1s,0.2432
2022-01-04,ho1s,0.0000
2022-01-04,rb1s,0.1699
2022-01-04,ng1s,0.0000
2022-01-04,gc1s,0.0000
2022-01-04,si1s,0.1506
2022-01-04,hg1s,-0.1520
2022-01-04,pl1s,0.2181
2022-01-05,es1s,0.1878
2022-01-05,nq1s,-0.0975
2022-01-05,fesx1s,0.0000
2022-01-05,cl1s,0.2884
2022-01-05,ho1s,0.0000
2022-01-05,rb1s,0.2045
2022-01-05,ng1s,0.0000
2022-01-05,gc1s,0.0000
2022-01-05,si1s,0.1617
2022-01-05,hg1s,-0.1607
2022-01-05,pl1s,-0.0205
2022-01-06,es1s,0.2025
2022-01-06,nq1s,-0.1026
2022-01-06,fesx1s,0.0000
2022-01-06,cl1s,0.2868
2022-01-06,ho1s,0.0000
2022-01-06,rb1s,0.2018
2022-01-06,ng1s,0.0000
2022-01-06,gc1s,0.0000
2022-01-06,si1s,0.1283
2022-01-06,hg1s,-0.1461
2022-01-06,pl1s,0.0170
2022-01-07,es1s,0.1516
2022-01-07,nq1s,0.0670
2022-01-07,fesx1s,0.0000
2022-01-07,cl1s,0.2352
2022-01-07,ho1s,0.0000
2022-01-07,rb1s,0.1733
2022-01-07,ng1s,0.0000
2022-01-07,gc1s,0.0000
2022-01-07,si1s,0.1057
2022-01-07,hg1s,-0.1210
2022-01-07,pl1s,0.1489
2022-01-10,es1s,0.1287
2022-01-10,nq1s,0.0656
2022-01-10,fesx1s,0.0000
2022-01-10,cl1s,0.2424
2022-01-10,ho1s,0.0000
2022-01-10,rb1s,0.1719
2022-01-10,ng1s,0.0000
2022-01-10,gc1s,0.0000
2022-01-10,si1s,0.1082
2022-01-10,hg1s,-0.1207
2022-01-10,pl1s,0.1461
2022-01-11,es1s,0.1502
2022-01-11,nq1s,-0.0995
2022-01-11,fesx1s,0.0000
2022-01-11,cl1s,0.2691
2022-01-11,ho1s,0.0000
2022-01-11,rb1s,0.1873
2022-01-11,ng1s,0.0000
2022-01-11,gc1s,0.0000
2022-01-11,si1s,0.1288
2022-01-11,hg1s,-0.1423
2022-01-11,pl1s,0.1111
2022-01-12,es1s,0.1636
2022-01-12,nq1s,-0.1089
2022-01-12,fesx1s,0.0000
2022-01-12,cl1s,0.2896
2022-01-12,ho1s,0.0000
2022-01-12,rb1s,0.2040
2022-01-12,ng1s,0.0000
2022-01-12,gc1s,0.0000
2022-01-12,si1s,0.1358
2022-01-12,hg1s,-0.1353
2022-01-12,pl1s,0.0073
2022-01-13,es1s,0.1825
2022-01-13,nq1s,-0.1004
2022-01-13,fesx1s,0.0000
2022-01-13,cl1s,0.2773
2022-01-13,ho1s,0.0000
2022-01-13,rb1s,0.1946
2022-01-13,ng1s,-0.0863
2022-01-13,gc1s,0.0000
2022-01-13,si1s,0.1339
2022-01-13,hg1s,-0.1290
2022-01-13,pl1s,0.0159
2022-01-14,es1s,0.2798
2022-01-14,nq1s,-0.1145
2022-01-14,fesx1s,0.0000
2022-01-14,cl1s,0.2899
2022-01-14,ho1s,0.0000
2022-01-14,rb1s,-0.2042
2022-01-14,ng1s,-0.0910
2022-01-14,gc1s,0.0000
2022-01-14,si1s,0.1441
2022-01-14,hg1s,-0.1285
2022-01-14,pl1s,0.1246
2022-01-17,es1s,0.0000
2022-01-17,nq1s,0.0000
2022-01-17,fesx1s,0.0000
2022-01-17,cl1s,0.0000
2022-01-17,ho1s,0.0000
2022-01-17,rb1s,0.0000
2022-01-17,ng1s,0.0000
2022-01-17,gc1s,0.0000
2022-01-17,si1s,0.0000
2022-01-17,hg1s,0.0000
2022-01-17,pl1s,0.0000
2022-01-18,es1s,0.2661
2022-01-18,nq1s,-0.1089
2022-01-18,fesx1s,0.0000
2022-01-18,cl1s,0.2899
2022-01-18,ho1s,0.0000
2022-01-18,rb1s,-0.2042
2022-01-18,ng1s,-0.0910
2022-01-18,gc1s,0.0000
2022-01-18,si1s,0.1441
2022-01-18,hg1s,-0.1285
2022-01-18,pl1s,0.1804
2022-01-19,es1s,0.2415
2022-01-19,nq1s,-0.1113
2022-01-19,fesx1s,0.0000
2022-01-19,cl1s,0.2899
2022-01-19,ho1s,0.0000
2022-01-19,rb1s,0.0000
2022-01-19,ng1s,0.0000
2022-01-19,gc1s,0.0000
2022-01-19,si1s,-0.1810
2022-01-19,hg1s,-0.1285
2022-01-19,pl1s,0.1804
2022-01-20,es1s,0.2288
2022-01-20,nq1s,0.0846
2022-01-20,fesx1s,0.0000
2022-01-20,cl1s,0.2778
2022-01-20,ho1s,0.0000
2022-01-20,rb1s,0.1700
2022-01-20,ng1s,0.0000
2022-01-20,gc1s,0.0000
2022-01-20,si1s,-0.1381
2022-01-20,hg1s,-0.1231
2022-01-20,pl1s,-0.1194
2022-01-21,es1s,0.2345
2022-01-21,nq1s,0.1056
2022-01-21,fesx1s,0.0000
2022-01-21,cl1s,0.2899
2022-01-21,ho1s,0.0000
2022-01-21,rb1s,-0.0000
2022-01-21,ng1s,0.0000
2022-01-21,gc1s,0.0000
2022-01-21,si1s,-0.1810
2022-01-21,hg1s,-0.1285
2022-01-21,pl1s,0.0171
2022-01-24,es1s,0.1306
2022-01-24,nq1s,0.0725
2022-01-24,fesx1s,0.0000
2022-01-24,cl1s,0.1669
2022-01-24,ho1s,0.0000
2022-01-24,rb1s,0.1175
2022-01-24,ng1s,0.0000
2022-01-24,gc1s,0.2302
2022-01-24,si1s,0.1042
2022-01-24,hg1s,0.0820
2022-01-24,pl1s,0.1038
2022-01-25,es1s,0.0937
2022-01-25,nq1s,0.0667
2022-01-25,fesx1s,0.0000
2022-01-25,cl1s,0.1698
2022-01-25,ho1s,0.0000
2022-01-25,rb1s,0.1196
2022-01-25,ng1s,-0.0533
2022-01-25,gc1s,0.2343
2022-01-25,si1s,0.1060
2022-01-25,hg1s,0.0834
2022-01-25,pl1s,0.1057
2022-01-26,es1s,0.1272
2022-01-26,nq1s,0.0767
2022-01-26,fesx1s,0.0000
2022-01-26,cl1s,0.2746
2022-01-26,ho1s,0.0000
2022-01-26,rb1s,0.1934
2022-01-26,ng1s,-0.0862
2022-01-26,gc1s,0.0000
2022-01-26,si1s,-0.1365
2022-01-26,hg1s,-0.1217
2022-01-26,pl1s,0.0162
2022-01-27,es1s,0.1609
2022-01-27,nq1s,0.0903
2022-01-27,fesx1s,0.0000
2022-01-27,cl1s,0.2822
2022-01-27,ho1s,0.0000
2022-01-27,rb1s,0.1987
2022-01-27,ng1s,-0.0273
2022-01-27,gc1s,0.0000
2022-01-27,si1s,-0.1403
2022-01-27,hg1s,-0.1251
2022-01-27,pl1s,0.0166
2022-01-28,es1s,-0.1516
2022-01-28,nq1s,-0.1335
2022-01-28,fesx1s,0.0000
2022-01-28,cl1s,0.2593
2022-01-28,ho1s,0.0000
2022-01-28,rb1s,0.1826
2022-01-28,ng1s,-0.0251
2022-01-28,gc1s,0.0000
2022-01-28,si1s,0.1289
2022-01-28,hg1s,0.1149
2022-01-28,pl1s,0.0153
2022-01-31,es1s,-0.1477
2022-01-31,nq1s,-0.1084
2022-01-31,fesx1s,0.0000
2022-01-31,cl1s,0.2625
2022-01-31,ho1s,0.0000
2022-01-31,rb1s,0.1849
2022-01-31,ng1s,-0.0254
2022-01-31,gc1s,0.0000
2022-01-31,si1s,0.1305
2022-01-31,hg1s,0.1164
2022-01-31,pl1s,0.0000
2022-02-01,es1s,-0.1712
2022-02-01,nq1s,-0.1192
2022-02-01,fesx1s,0.1080
2022-02-01,cl1s,0.2899
2022-02-01,ho1s,0.0000
2022-02-01,rb1s,0.0000
2022-02-01,ng1s,-0.0281
2022-02-01,gc1s,0.0000
2022-02-01,si1s,0.0000
2022-02-01,hg1s,0.1424
2022-02-01,pl1s,0.1246
2022-02-02,es1s,-0.1589
2022-02-02,nq1s,-0.1137
2022-02-02,fesx1s,0.1022
2022-02-02,cl1s,0.2899
2022-02-02,ho1s,0.0000
2022-02-02,rb1s,0.0000
2022-02-02,ng1s,-0.0281
2022-02-02,gc1s,0.0000
2022-02-02,si1s,-0.1441
2022-02-02,hg1s,0.1424
2022-02-02,pl1s,-0.0463
2022-02-03,es1s,-0.1695
2022-02-03,nq1s,-0.1234
2022-02-03,fesx1s,-0.1227
2022-02-03,cl1s,0.0000
2022-02-03,ho1s,0.0000
2022-02-03,rb1s,0.0000
2022-02-03,ng1s,-0.0281
2022-02-03,gc1s,0.0000
2022-02-03,si1s,0.1441
2022-02-03,hg1s,0.1285
2022-02-03,pl1s,0.0000
2022-02-04,es1s,0.0000
2022-02-04,nq1s,-0.1115
2022-02-04,fesx1s,0.1184
2022-02-04,cl1s,0.0000
2022-02-04,ho1s,0.0000
2022-02-04,rb1s,0.0000
2022-02-04,ng1s,-0.0281
2022-02-04,gc1s,0.0000
2022-02-04,si1s,-0.1441
2022-02-04,hg1s,0.1285
2022-02-04,pl1s,0.1246
2022-02-07,es1s,0.2345
2022-02-07,nq1s,0.0000
2022-02-07,fesx1s,0.1070
2022-02-07,cl1s,0.0000
2022-02-07,ho1s,0.0000
2022-02-07,rb1s,0.0000
2022-02-07,ng1s,0.0000
2022-02-07,gc1s,0.0000
2022-02-07,si1s,-0.1441
2022-02-07,hg1s,0.1285
2022-02-07,pl1s,0.0000
2022-02-08,es1s,0.2501
2022-02-08,nq1s,-0.1141
2022-02-08,fesx1s,0.1023
2022-02-08,cl1s,0.0000
2022-02-08,ho1s,0.0000
2022-02-08,rb1s,-0.0000
2022-02-08,ng1s,-0.0281
2022-02-08,gc1s,0.0000
2022-02-08,si1s,-0.1441
2022-02-08,hg1s,0.1285
2022-02-08,pl1s,0.0000
2022-02-09,es1s,-0.1582
2022-02-09,nq1s,-0.1084
2022-02-09,fesx1s,-0.1082
2022-02-09,cl1s,0.0000
2022-02-09,ho1s,0.0000
2022-02-09,rb1s,0.0000
2022-02-09,ng1s,-0.0281
2022-02-09,gc1s,0.0000
2022-02-09,si1s,-0.1441
2022-02-09,hg1s,-0.1285
2022-02-09,pl1s,0.0171
2022-02-10,es1s,-0.1602
2022-02-10,nq1s,0.1280
2022-02-10,fesx1s,-0.1130
2022-02-10,cl1s,0.2899
2022-02-10,ho1s,0.0000
2022-02-10,rb1s,0.0000
2022-02-10,ng1s,-0.0281
2022-02-10,gc1s,0.0000
2022-02-10,si1s,-0.1441
2022-02-10,hg1s,0.2405
2022-02-10,pl1s,0.0000
2022-02-11,es1s,0.2793
2022-02-11,nq1s,0.0882
2022-02-11,fesx1s,-0.1068
2022-02-11,cl1s,0.0000
2022-02-11,ho1s,0.0000
2022-02-11,rb1s,0.0000
2022-02-11,ng1s,-0.0281
2022-02-11,gc1s,0.0000
2022-02-11,si1s,-0.1441
2022-02-11,hg1s,0.1424
2022-02-11,pl1s,0.0000
2022-02-14,es1s,0.2784
2022-02-14,nq1s,0.0974
2022-02-14,fesx1s,-0.1011
2022-02-14,cl1s,0.0000
2022-02-14,ho1s,0.0000
2022-02-14,rb1s,-0.1774
2022-02-14,ng1s,-0.0281
2022-02-14,gc1s,0.0000
2022-02-14,si1s,-0.1441
2022-02-14,hg1s,0.2544
2022-02-14,pl1s,0.0000
2022-02-15,es1s,0.2182
2022-02-15,nq1s,0.0813
2022-02-15,fesx1s,-0.0864
2022-02-15,cl1s,0.2531
2022-02-15,ho1s,0.0000
2022-02-15,rb1s,0.1782
2022-02-15,ng1s,-0.0245
2022-02-15,gc1s,0.0000
2022-02-15,si1s,-0.1258
2022-02-15,hg1s,0.1122
2022-02-15,pl1s,0.0000
2022-02-16,es1s,0.1398
2022-02-16,nq1s,0.0488
2022-02-16,fesx1s,-0.0859
2022-02-16,cl1s,0.2344
2022-02-16,ho1s,0.0000
2022-02-16,rb1s,0.1662
2022-02-16,ng1s,-0.0194
2022-02-16,gc1s,0.3235
2022-02-16,si1s,-0.1061
2022-02-16,hg1s,0.0906
2022-02-16,pl1s,0.1100
2022-02-17,es1s,0.1765
2022-02-17,nq1s,0.0725
2022-02-17,fesx1s,-0.0974
2022-02-17,cl1s,0.2603
2022-02-17,ho1s,0.0000
2022-02-17,rb1s,0.1883
2022-02-17,ng1s,-0.0226
2022-02-17,gc1s,0.0000
2022-02-17,si1s,-0.1303
2022-02-17,hg1s,0.1072
2022-02-17,pl1s,-0.0194
2022-02-18,es1s,0.1934
2022-02-18,nq1s,0.0764
2022-02-18,fesx1s,-0.1066
2022-02-18,cl1s,0.2018
2022-02-18,ho1s,0.0000
2022-02-18,rb1s,0.0020
2022-02-18,ng1s,-0.0248
2022-02-18,gc1s,0.0000
2022-02-18,si1s,-0.1447
2022-02-18,hg1s,0.1216
2022-02-18,pl1s,0.0000
2022-02-21,es1s,0.0000
2022-02-21,nq1s,0.0000
2022-02-21,fesx1s,-0.0953
2022-02-21,cl1s,0.0000
2022-02-21,ho1s,0.0000
2022-02-21,rb1s,0.0000
2022-02-21,ng1s,0.0000
2022-02-21,gc1s,0.0000
2022-02-21,si1s,0.0000
2022-02-21,hg1s,0.0000
2022-02-21,pl1s,0.0000
2022-02-22,es1s,0.1670
2022-02-22,nq1s,0.0777
2022-02-22,fesx1s,-0.1129
2022-02-22,cl1s,0.1617
2022-02-22,ho1s,0.0000
2022-02-22,rb1s,0.0000
2022-02-22,ng1s,-0.0248
2022-02-22,gc1s,0.4000
2022-02-22,si1s,-0.1447
2022-02-22,hg1s,0.1216
2022-02-22,pl1s,-0.0210
2022-02-23,es1s,0.0959
2022-02-23,nq1s,0.0544
2022-02-23,fesx1s,-0.1162
2022-02-23,cl1s,0.2759
2022-02-23,ho1s,0.0000
2022-02-23,rb1s,0.1990
2022-02-23,ng1s,-0.0245
2022-02-23,gc1s,0.0000
2022-02-23,si1s,-0.1425
2022-02-23,hg1s,0.0843
2022-02-23,pl1s,-0.0207
2022-02-24,es1s,0.1035
2022-02-24,nq1s,0.0609
2022-02-24,fesx1s,0.0732
2022-02-24,cl1s,0.2161
2022-02-24,ho1s,0.0000
2022-02-24,rb1s,0.1559
2022-02-24,ng1s,-0.0192
2022-02-24,gc1s,0.3085
2022-02-24,si1s,-0.1116
2022-02-24,hg1s,0.0938
2022-02-24,pl1s,0.1181
2022-02-25,es1s,0.1100
2022-02-25,nq1s,0.0410
2022-02-25,fesx1s,0.0615
2022-02-25,cl1s,0.1595
2022-02-25,ho1s,0.0000
2022-02-25,rb1s,0.1150
2022-02-25,ng1s,-0.0141
2022-02-25,gc1s,0.2277
2022-02-25,si1s,0.1034
2022-02-25,hg1s,0.0692
2022-02-25,pl1s,0.1261
2022-02-28,es1s,0.1918
2022-02-28,nq1s,0.0753
2022-02-28,fesx1s,-0.1274
2022-02-28,cl1s,0.1617
2022-02-28,ho1s,0.0000
2022-02-28,rb1s,0.0000
2022-02-28,ng1s,-0.0248
2022-02-28,gc1s,0.0000
2022-02-28,si1s,-0.1817
2022-02-28,hg1s,0.1216
2022-02-28,pl1s,0.2216
2022-03-01,es1s,0.1889
2022-03-01,nq1s,0.0704
2022-03-01,fesx1s,-0.1141
2022-03-01,cl1s,0.0000
2022-03-01,ho1s,0.0000
2022-03-01,rb1s,0.1756
2022-03-01,ng1s,-0.0805
2022-03-01,gc1s,0.0000
2022-03-01,si1s,-0.1447
2022-03-01,hg1s,0.1216
2022-03-01,pl1s,0.2216
2022-03-02,es1s,0.1904
2022-03-02,nq1s,-0.0713
2022-03-02,fesx1s,0.0633
2022-03-02,cl1s,0.0000
2022-03-02,ho1s,0.0000
2022-03-02,rb1s,-0.0000
2022-03-02,ng1s,-0.0805
2022-03-02,gc1s,0.0000
2022-03-02,si1s,-0.1447
2022-03-02,hg1s,0.1216
2022-03-02,pl1s,0.2216
2022-03-03,es1s,0.1920
2022-03-03,nq1s,-0.0720
2022-03-03,fesx1s,0.0634
2022-03-03,cl1s,0.2018
2022-03-03,ho1s,0.0000
2022-03-03,rb1s,-0.0000
2022-03-03,ng1s,-0.0805
2022-03-03,gc1s,0.4000
2022-03-03,si1s,-0.1447
2022-03-03,hg1s,0.1216
2022-03-03,pl1s,-0.0210
2022-03-04,es1s,0.1905
2022-03-04,nq1s,0.0650
2022-03-04,fesx1s,0.0493
2022-03-04,cl1s,0.0000
2022-03-04,ho1s,0.0000
2022-03-04,rb1s,-0.1756
2022-03-04,ng1s,-0.0805
2022-03-04,gc1s,0.0000
2022-03-04,si1s,-0.1817
2022-03-04,hg1s,0.1216
2022-03-04,pl1s,-0.0210
2022-03-07,es1s,0.1436
2022-03-07,nq1s,0.0477
2022-03-07,fesx1s,0.0480
2022-03-07,cl1s,0.0000
2022-03-07,ho1s,0.0000
2022-03-07,rb1s,-0.1756
2022-03-07,ng1s,-0.0248
2022-03-07,gc1s,0.0000
2022-03-07,si1s,-0.1817
2022-03-07,hg1s,-0.1216
2022-03-07,pl1s,-0.0210
2022-03-08,es1s,0.1599
2022-03-08,nq1s,0.0490
2022-03-08,fesx1s,0.0438
2022-03-08,cl1s,0.0000
2022-03-08,ho1s,0.0000
2022-03-08,rb1s,-0.2021
2022-03-08,ng1s,-0.0805
2022-03-08,gc1s,0.0000
2022-03-08,si1s,0.0000
2022-03-08,hg1s,-0.1348
2022-03-08,pl1s,-0.0210
2022-03-09,es1s,0.1862
2022-03-09,nq1s,0.0801
2022-03-09,fesx1s,-0.0594
2022-03-09,cl1s,0.0000
2022-03-09,ho1s,0.0000
2022-03-09,rb1s,-0.2021
2022-03-09,ng1s,-0.0248
2022-03-09,gc1s,0.0000
2022-03-09,si1s,-0.1447
2022-03-09,hg1s,0.1216
2022-03-09,pl1s,0.0210
2022-03-10,es1s,0.1883
2022-03-10,nq1s,0.0522
2022-03-10,fesx1s,-0.0664
2022-03-10,cl1s,0.0000
2022-03-10,ho1s,0.0000
2022-03-10,rb1s,-0.2021
2022-03-10,ng1s,-0.0248
2022-03-10,gc1s,0.0000
2022-03-10,si1s,0.0000
2022-03-10,hg1s,0.1216
2022-03-10,pl1s,0.0000
2022-03-11,es1s,0.1624
2022-03-11,nq1s,0.0571
2022-03-11,fesx1s,-0.0612
2022-03-11,cl1s,0.0000
2022-03-11,ho1s,0.0000
2022-03-11,rb1s,-0.2021
2022-03-11,ng1s,-0.0248
2022-03-11,gc1s,0.0000
2022-03-11,si1s,-0.1447
2022-03-11,hg1s,0.1216
2022-03-11,pl1s,0.2216
2022-03-14,es1s,0.1704
2022-03-14,nq1s,0.0553
2022-03-14,fesx1s,-0.0632
2022-03-14,cl1s,-0.2802
2022-03-14,ho1s,0.0000
2022-03-14,rb1s,-0.2021
2022-03-14,ng1s,-0.0248
2022-03-14,gc1s,0.0000
2022-03-14,si1s,0.0000
2022-03-14,hg1s,0.1216
2022-03-14,pl1s,0.0210
2022-03-15,es1s,0.2042
2022-03-15,nq1s,0.0583
2022-03-15,fesx1s,-0.0620
2022-03-15,cl1s,0.0000
2022-03-15,ho1s,0.0000
2022-03-15,rb1s,0.2021
2022-03-15,ng1s,-0.0248
2022-03-15,gc1s,0.0000
2022-03-15,si1s,-0.1447
2022-03-15,hg1s,0.1216
2022-03-15,pl1s,0.0000
2022-03-16,es1s,0.2057
2022-03-16,nq1s,0.0548
2022-03-16,fesx1s,-0.0606
2022-03-16,cl1s,0.0000
2022-03-16,ho1s,0.0000
2022-03-16,rb1s,0.2021
2022-03-16,ng1s,-0.0248
2022-03-16,gc1s,0.0000
2022-03-16,si1s,0.0000
2022-03-16,hg1s,0.1216
2022-03-16,pl1s,0.0000
2022-03-17,es1s,-0.0948
2022-03-17,nq1s,0.0525
2022-03-17,fesx1s,-0.0613
2022-03-17,cl1s,0.0000
2022-03-17,ho1s,0.0000
2022-03-17,rb1s,-0.2021
2022-03-17,ng1s,-0.0248
2022-03-17,gc1s,0.0000
2022-03-17,si1s,-0.1447
2022-03-17,hg1s,0.1216
2022-03-17,pl1s,0.0000
2022-03-18,es1s,-0.0823
2022-03-18,nq1s,0.0437
2022-03-18,fesx1s,-0.0527
2022-03-18,cl1s,-0.2403
2022-03-18,ho1s,0.0000
2022-03-18,rb1s,-0.1733
2022-03-18,ng1s,0.0000
2022-03-18,gc1s,0.0000
2022-03-18,si1s,-0.1241
2022-03-18,hg1s,-0.1043
2022-03-18,pl1s,0.0000
2022-03-21,es1s,-0.0855
2022-03-21,nq1s,0.0499
2022-03-21,fesx1s,-0.0542
2022-03-21,cl1s,-0.2616
2022-03-21,ho1s,0.0000
2022-03-21,rb1s,-0.1887
2022-03-21,ng1s,0.0000
2022-03-21,gc1s,0.0000
2022-03-21,si1s,0.0000
2022-03-21,hg1s,-0.1136
2022-03-21,pl1s,0.0000
2022-03-22,es1s,-0.0920
2022-03-22,nq1s,0.0520
2022-03-22,fesx1s,-0.0524
2022-03-22,cl1s,-0.2505
2022-03-22,ho1s,0.0000
2022-03-22,rb1s,-0.1807
2022-03-22,ng1s,0.0000
2022-03-22,gc1s,0.3576
2022-03-22,si1s,-0.1293
2022-03-22,hg1s,-0.1087
2022-03-22,pl1s,0.0000
2022-03-23,es1s,0.1704
2022-03-23,nq1s,0.0580
2022-03-23,fesx1s,-0.0580
2022-03-23,cl1s,-0.0984
2022-03-23,ho1s,0.0000
2022-03-23,rb1s,-0.0713
2022-03-23,ng1s,0.0000
2022-03-23,gc1s,0.0000
2022-03-23,si1s,-0.1015
2022-03-23,hg1s,-0.1019
2022-03-23,pl1s,0.0000
2022-03-24,es1s,0.1764
2022-03-24,nq1s,-0.0679
2022-03-24,fesx1s,-0.0562
2022-03-24,cl1s,-0.0975
2022-03-24,ho1s,0.0000
2022-03-24,rb1s,-0.0709
2022-03-24,ng1s,0.0000
2022-03-24,gc1s,0.0000
2022-03-24,si1s,-0.0988
2022-03-24,hg1s,-0.1018
2022-03-24,pl1s,0.0000
2022-03-25,es1s,0.1784
2022-03-25,nq1s,-0.0704
2022-03-25,fesx1s,-0.0627
2022-03-25,cl1s,-0.0975
2022-03-25,ho1s,0.0000
2022-03-25,rb1s,-0.0708
2022-03-25,ng1s,0.0000
2022-03-25,gc1s,0.0000
2022-03-25,si1s,-0.0980
2022-03-25,hg1s,0.0713
2022-03-25,pl1s,0.0000
2022-03-28,es1s,0.1886
2022-03-28,nq1s,-0.0709
2022-03-28,fesx1s,0.0424
2022-03-28,cl1s,-0.0928
2022-03-28,ho1s,0.0000
2022-03-28,rb1s,-0.0666
2022-03-28,ng1s,0.0000
2022-03-28,gc1s,0.0000
2022-03-28,si1s,-0.1004
2022-03-28,hg1s,0.1013
2022-03-28,pl1s,0.0000
2022-03-29,es1s,0.1863
2022-03-29,nq1s,0.0531
2022-03-29,fesx1s,-0.0633
2022-03-29,cl1s,0.0000
2022-03-29,ho1s,0.0000
2022-03-29,rb1s,-0.0666
2022-03-29,ng1s,0.0000
2022-03-29,gc1s,0.0000
2022-03-29,si1s,-0.0994
2022-03-29,hg1s,0.0717
2022-03-29,pl1s,0.0000
2022-03-30,es1s,0.2077
2022-03-30,nq1s,0.0556
2022-03-30,fesx1s,-0.0675
2022-03-30,cl1s,0.0000
2022-03-30,ho1s,0.0000
2022-03-30,rb1s,-0.0676
2022-03-30,ng1s,0.0000
2022-03-30,gc1s,0.0000
2022-03-30,si1s,-0.1088
2022-03-30,hg1s,0.0761
2022-03-30,pl1s,0.0000
2022-03-31,es1s,0.1858
2022-03-31,nq1s,0.0655
2022-03-31,fesx1s,0.0532
2022-03-31,cl1s,0.0000
2022-03-31,ho1s,0.0000
2022-03-31,rb1s,0.0697
2022-03-31,ng1s,0.0000
2022-03-31,gc1s,0.0000
2022-03-31,si1s,-0.1097
