feature,pfi_mean,mdi_mean,shap_magnitude
f1_mr_score_10,0.0001431291631374454,0.0010342242813750015,0.0
f1_dist_ma_sigma_10,-0.0019646382417231934,0.005639602080615152,0.0
f1_ret_reversal_10,-0.0012771529519640186,0.009861448034130724,0.0
f1_hilo_pos_10,-5.817537979883418e-06,0.0025688900251578327,0.0
f1_mr_score_20,1.0720299596885438e-06,0.00596263083910139,0.0
f1_dist_ma_sigma_20,0.0016738871194474777,0.011388337075577468,0.0
f1_ret_reversal_20,-0.0012638785963784093,0.004774013869621614,0.0
f1_hilo_pos_20,-0.0007891453842615692,0.004311086681107984,0.0
f1_mr_score_40,-0.0020600592770094444,0.014521742599241145,0.0
f1_dist_ma_sigma_40,0.0002900383982215186,0.004330624990574867,0.0
f1_ret_reversal_40,4.9258113310553704e-05,0.009647543602406005,0.0
f1_hilo_pos_40,0.0010973237876409432,0.005319776162330639,0.0
f1_rsi_14,0.003740604592666012,0.0072032936743820645,0.0
f1_bb_pctb_20,0.0005824745282651644,0.010569604183317306,0.0
f1_bb_bandwidth_20,-0.0020208243179936896,0.02249131936259029,0.0
f2_vol_10,0.0012434935026692056,0.01588520751289621,0.0
f2_vol_20,0.006480782103281998,0.025205913476356923,0.0
f2_vol_60,0.014350494420414483,0.04811688282542899,0.0
f2_vol_ratio_20_60,8.691841242246534e-05,0.0043443380968733476,0.0
f2_vol_pctile_20,0.0037218927318598697,0.0196252524445082,0.0
f2_vol_of_vol_20,0.006316135380834764,0.017204134241964816,0.0
f2_parkinson_20,0.011162002639203365,0.022574217494711387,0.0
f2_garman_klass_20,0.00301280675647102,0.017327354306576358,0.0
f2_atr_14,0.00023063233341139947,0.00743233406004065,0.0
f2_ret_skew_60,-0.0017351689490873513,0.012263757223631164,0.0
f2_ret_kurt_60,-0.0073558639002635744,0.019612827234661272,0.0
f6_ts_momentum_20,-0.0015746758179930136,0.005422654340525566,0.0
f6_ts_momentum_60,0.008787013075748858,0.029552401809785796,0.0
f6_ma_cross_20_60,0.002457428366493634,0.0206711327979441,0.0
f6_macd_12_26,-6.948901423174947e-05,0.002185350450461148,0.0
f6_macd_hist_12_26_9,-0.004963038095353704,0.021444402401482633,0.0
f6_adx_14,0.0006661866779398099,0.010013216100695672,0.0
f6_donchian_pos_20,-0.0016299756987624204,0.004035383068865346,0.0
f7_volume_z_20,0.00015159757641161435,0.0008213754292878486,0.0
f7_volume_trend_20,-0.0006017555728035084,0.0012774998151649827,0.0
f7_oi_level,0.0001459120032551072,0.007770161133835731,0.0
f7_oi_change,0.001110472404016786,0.0052032709831567,0.0
f7_oi_z_20,0.001097312459582389,0.0067730770139628246,0.0
f7_oi_price_div_20,3.932255328316092e-05,0.0003542944473064764,0.0
f10_hl_range,0.0018413615250259382,0.010182521587835844,0.0
f10_oto_ret,0.00035188636064864185,0.0010295938506335986,0.0
f10_oto_ret_mean_20,-0.002044976885605787,0.0036940886948998945,0.0
f4_pc1,0.00031446159416344727,0.005707069109556657,0.0
f4_pc2,0.0030682555763556977,0.014312155325999078,0.0
f4_pc3,-0.0006064531298252758,0.0032189979133785446,0.0
f4_pc4,0.008647107481891951,0.01820434216743687,0.0
f5_signal,0.0,0.0003501327624277724,0.0
f5_trailing_run_length,-0.0038371881455361006,0.005250931215168463,0.0
f5_participation_20,-0.004608463757660897,0.006264971607205792,0.0
f5_participation_60,-0.0012051608830464338,0.011993695942974721,0.0
f5_long_bias_20,4.726059509363445e-05,0.00592426373913216,0.0
f5_sign_agree_mr,0.0012721963958492676,0.010919245442172452,0.0
f8_dow_sin,6.612683789405382e-05,0.00037416666993584215,0.0
f8_dow_cos,-0.00012426184606765996,0.00026350892250108564,0.0
f8_month_sin,0.00016067272392639536,0.003730672736745507,0.0
f8_month_cos,-0.0036378479424612215,0.011241537730491077,0.0
f11_vix_level_z,-8.823604132926674e-05,0.006023183766296259,0.0
f11_vix_5d_change,0.0004037481549720982,0.0016842086144896273,0.0
f11_vix_term_slope,0.005952319082582369,0.04515708679100195,0.0
f11_move_z,0.014544761712721899,0.035384097229066304,0.0
f11_move_vix_ratio,-0.0009246333482095211,0.010158509585258628,0.0
f11_skew_z,-3.228846408575755e-05,0.006714958389466245,0.0
f11_us_2s10s_slope,0.0015381961199877336,0.010338812947582907,0.0
f11_ust_10y_5d_change,-0.00039547498209883497,0.0077190209891181815,0.0
f11_bund_10y_5d_change,-0.0008024507854040778,0.004684880441507232,0.0
f11_ust_bund_spread,-0.002277911458921885,0.013816015692088464,0.0
f11_real_yield_10y,-0.003091212509119723,0.007686040015612955,0.0
f11_breakeven_10y,0.0005648736136005732,0.006085255997212631,0.0
f11_be_5d_change,-0.0006930920904922162,0.0012769423235747081,0.0
f11_hy_oas_z,-0.0011909552779907388,0.005275956394712137,0.0
f11_hy_oas_5d_change,-0.00032686533314472873,0.002560314422887635,0.0
f11_ig_oas_z,-0.00019566963038012788,0.00208193005283978,0.0
f11_hy_ig_ratio,-0.00019322946141793197,0.003612113512248339,0.0
f11_dxy_z,-0.0011775657472153109,0.007611365589784672,0.0
f11_dxy_5d_change,0.00027721497492033675,0.001591253070023147,0.0
f11_eurusd_5d_change,0.0008113151575428505,0.002533809713776528,0.0
f11_crude_stock_surprise,-0.0016749004150481935,0.0094574069292006,0.0
f11_dist_stock_surprise,-0.002513147818278135,0.0063848492658032325,0.0
f11_gasoline_stock_surprise,0.011806178485125766,0.03164889277626317,0.0
f11_ng_stock_surprise,0.004010355386220957,0.017246413719551528,0.0
f11_copper_stock_z,-0.002850229913988119,0.004673022797535018,0.0
f11_baltic_dry_z,0.000513192284726031,0.013013396023748272,0.0
f11_baltic_5d_change,-0.001139383971222981,0.006542282367075875,0.0
f11_ism_pmi_level,-0.0026566836502195453,0.008545583111584152,0.0
f11_ism_pmi_3m_change,-0.0036865051080104847,0.02639818667732459,0.0
f11_china_pmi_level,-6.03315315053643e-05,0.0077301547576510725,0.0
f11_global_pmi_breadth,-0.0003289630466141317,0.000542895887731249,0.0
f12_mra_energy_D1,-0.0008595922187423444,0.0081569892025056,0.0
f12_mra_energy_D2,0.0015837565590668548,0.005868415712293935,0.0
f12_mra_energy_D3,-0.0004065142658699246,0.0018984213378437352,0.0
f12_mra_energy_D4,0.0005887319338129063,0.003843799385380016,0.0
f12_mra_energy_D5,0.0011140094887636639,0.0033785451722270214,0.0
f13_path_tortuosity_20d,-0.0026692246511968,0.010396552833936128,0.0
f13_realized_semi_vol_ratio,-0.002546662743666332,0.004681453217932102,0.0
f13_expected_hit_time,0.004194773815262883,0.007937016536578157,0.0
f13_prob_timeout,0.012902242188962269,0.013402697164354426,0.0
f15_ewma_implied_corr_z,0.0016391172205273456,0.005693712180831385,0.0
hmm_vol_p0_calm,0.0024425094504302858,0.007709240248791881,0.0
hmm_vol_p2_turbulent,0.007371048125067403,0.025095170377837053,0.0
hmm_vol_entropy,0.013910537902923322,0.02110821034193606,0.0
hmm_macro_p0,-0.0012445154471791915,0.003946833365955327,0.0
hmm_macro_entropy,-0.003840523608824431,0.005301631479431136,0.0
